Date,source_file,Country,Keyword,Value,Pillar,World
2021-05-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-06-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-07-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-08-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-09-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-10-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-11-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2021-12-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,61.0,Body,World B
2022-01-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-02-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,37.0,Body,World B
2022-03-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-04-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-05-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-06-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-07-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-08-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-09-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-10-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-11-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2022-12-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-01-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-02-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-03-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-04-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-05-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-06-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-07-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-08-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-09-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-10-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-11-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2023-12-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-01-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-02-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-03-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-04-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-05-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-06-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-07-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
2024-08-01,ITA_alimentazione_consapevole.csv,ITA,Alimentazione consapevole,0.0,Body,World B
